# DO NOT EDIT BY HAND - rebuild with tools/generate/import_vectors.py
# Interrupt vector map per startup variant. Slot 0 (reset) is emitted by
# crt0_ch32.S, so slots start at 1. An empty handler means a reserved slot.
# Verified against the EVT startup sources every PR by tests/startup/.
variant,slot,handler
v307_d8c,12,SysTick_Handler
v307_d8c,13,
v307_d8c,14,SW_Handler
v307_d8c,15,
v307_d8c,16,WWDG_IRQHandler
v307_d8c,17,PVD_IRQHandler
v307_d8c,18,TAMPER_IRQHandler
v307_d8c,19,RTC_IRQHandler
v307_d8c,20,FLASH_IRQHandler
v307_d8c,21,RCC_IRQHandler
v307_d8c,22,EXTI0_IRQHandler
v307_d8c,23,EXTI1_IRQHandler
v307_d8c,24,EXTI2_IRQHandler
v307_d8c,25,EXTI3_IRQHandler
v307_d8c,26,EXTI4_IRQHandler
v307_d8c,27,DMA1_Channel1_IRQHandler
v307_d8c,28,DMA1_Channel2_IRQHandler
v307_d8c,29,DMA1_Channel3_IRQHandler
v307_d8c,30,DMA1_Channel4_IRQHandler
v307_d8c,31,DMA1_Channel5_IRQHandler
v307_d8c,32,DMA1_Channel6_IRQHandler
v307_d8c,33,DMA1_Channel7_IRQHandler
v307_d8c,34,ADC1_2_IRQHandler
v307_d8c,35,USB_HP_CAN1_TX_IRQHandler
v307_d8c,36,USB_LP_CAN1_RX0_IRQHandler
v307_d8c,37,CAN1_RX1_IRQHandler
v307_d8c,38,CAN1_SCE_IRQHandler
v307_d8c,39,EXTI9_5_IRQHandler
v307_d8c,40,TIM1_BRK_IRQHandler
v307_d8c,41,TIM1_UP_IRQHandler
v307_d8c,42,TIM1_TRG_COM_IRQHandler
v307_d8c,43,TIM1_CC_IRQHandler
v307_d8c,44,TIM2_IRQHandler
v307_d8c,45,TIM3_IRQHandler
v307_d8c,46,TIM4_IRQHandler
v307_d8c,47,I2C1_EV_IRQHandler
v307_d8c,48,I2C1_ER_IRQHandler
v307_d8c,49,I2C2_EV_IRQHandler
v307_d8c,50,I2C2_ER_IRQHandler
v307_d8c,51,SPI1_IRQHandler
v307_d8c,52,SPI2_IRQHandler
v307_d8c,53,USART1_IRQHandler
v307_d8c,54,USART2_IRQHandler
v307_d8c,55,USART3_IRQHandler
v307_d8c,56,EXTI15_10_IRQHandler
v307_d8c,57,RTCAlarm_IRQHandler
v307_d8c,58,USBWakeUp_IRQHandler
v307_d8c,59,TIM8_BRK_IRQHandler
v307_d8c,60,TIM8_UP_IRQHandler
v307_d8c,61,TIM8_TRG_COM_IRQHandler
v307_d8c,62,TIM8_CC_IRQHandler
v307_d8c,63,RNG_IRQHandler
v307_d8c,64,
v307_d8c,65,SDIO_IRQHandler
v307_d8c,66,TIM5_IRQHandler
v307_d8c,67,SPI3_IRQHandler
v307_d8c,68,UART4_IRQHandler
v307_d8c,69,UART5_IRQHandler
v307_d8c,70,TIM6_IRQHandler
v307_d8c,71,TIM7_IRQHandler
v307_d8c,72,DMA2_Channel1_IRQHandler
v307_d8c,73,DMA2_Channel2_IRQHandler
v307_d8c,74,DMA2_Channel3_IRQHandler
v307_d8c,75,DMA2_Channel4_IRQHandler
v307_d8c,76,DMA2_Channel5_IRQHandler
v307_d8c,77,ETH_IRQHandler
v307_d8c,78,ETH_WKUP_IRQHandler
v307_d8c,79,CAN2_TX_IRQHandler
v307_d8c,80,CAN2_RX0_IRQHandler
v307_d8c,81,CAN2_RX1_IRQHandler
v307_d8c,82,CAN2_SCE_IRQHandler
v307_d8c,83,USBFS_IRQHandler
v307_d8c,84,USBHSWakeup_IRQHandler
v307_d8c,85,USBHS_IRQHandler
v307_d8c,86,DVP_IRQHandler
v307_d8c,87,UART6_IRQHandler
v307_d8c,88,UART7_IRQHandler
v307_d8c,89,UART8_IRQHandler
v307_d8c,90,TIM9_BRK_IRQHandler
v307_d8c,91,TIM9_UP_IRQHandler
v307_d8c,92,TIM9_TRG_COM_IRQHandler
v307_d8c,93,TIM9_CC_IRQHandler
v307_d8c,94,TIM10_BRK_IRQHandler
v307_d8c,95,TIM10_UP_IRQHandler
v307_d8c,96,TIM10_TRG_COM_IRQHandler
v307_d8c,97,TIM10_CC_IRQHandler
v307_d8c,98,DMA2_Channel6_IRQHandler
v307_d8c,99,DMA2_Channel7_IRQHandler
v307_d8c,100,DMA2_Channel8_IRQHandler
v307_d8c,101,DMA2_Channel9_IRQHandler
v307_d8c,102,DMA2_Channel10_IRQHandler
v307_d8c,103,DMA2_Channel11_IRQHandler
v4x7,1,
v4x7,2,NMI_Handler
v4x7,3,HardFault_Handler
v4x7,4,
v4x7,5,Ecall_M_Mode_Handler
v4x7,6,
v4x7,7,
v4x7,8,Ecall_U_Mode_Handler
v4x7,9,Break_Point_Handler
v4x7,10,
v4x7,11,
v4x7,12,SysTick_Handler
v4x7,13,
v4x7,14,SW_Handler
v4x7,15,
v4x7,16,WWDG_IRQHandler
v4x7,17,PVD_IRQHandler
v4x7,18,TAMPER_IRQHandler
v4x7,19,RTC_IRQHandler
v4x7,20,FLASH_IRQHandler
v4x7,21,RCC_IRQHandler
v4x7,22,EXTI0_IRQHandler
v4x7,23,EXTI1_IRQHandler
v4x7,24,EXTI2_IRQHandler
v4x7,25,EXTI3_IRQHandler
v4x7,26,EXTI4_IRQHandler
v4x7,27,DMA1_Channel1_IRQHandler
v4x7,28,DMA1_Channel2_IRQHandler
v4x7,29,DMA1_Channel3_IRQHandler
v4x7,30,DMA1_Channel4_IRQHandler
v4x7,31,DMA1_Channel5_IRQHandler
v4x7,32,DMA1_Channel6_IRQHandler
v4x7,33,DMA1_Channel7_IRQHandler
v4x7,34,ADC1_2_IRQHandler
v4x7,35,CAN1_TX_IRQHandler
v4x7,36,CAN1_RX0_IRQHandler
v4x7,37,CAN1_RX1_IRQHandler
v4x7,38,CAN1_SCE_IRQHandler
v4x7,39,EXTI9_5_IRQHandler
v4x7,40,TIM1_BRK_IRQHandler
v4x7,41,TIM1_UP_IRQHandler
v4x7,42,TIM1_TRG_COM_IRQHandler
v4x7,43,TIM1_CC_IRQHandler
v4x7,44,TIM2_IRQHandler
v4x7,45,TIM3_IRQHandler
v4x7,46,TIM4_IRQHandler
v4x7,47,I2C1_EV_IRQHandler
